stkcd,accper,C_Innovation,sust_score,env_score,social_score,industrycode,sic2,gov_score,X_breadth1,X_breadth2,SOE,Size,Lev,Age,Growth,Cash,ROE,MTB,yrf1,yrf2,yrf3,yrf4,yrf5,yrf6,yrf7,yrf8,yrf9,indus1,indus2,indus3,indus4,indus5,indus6,indus7,indus8,indus9,indus10,indus11,indus12,indus13,indus14,indus15,indus16,indus17,indus18,indus19,indus20
8,2017,"8,82","24,28",0,"2,38",C37,C3,"7,3","0,6931472","0,6931472",0,"7,790282","0,3269488","3,367296","0,2424968","-0,0049595","0,13318","3,916995",0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,2018,"9,47","23,99",0,"4,46",C37,C3,"6,51","0,6931472","0,6931472",0,"7,875119","0,2925097","3,401197","0,1003758","-0,0564255","0,04686","1,894004",0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,2016,"3,46","60,48",8,"12,09",S90,S,"13,46333","2,302585","1,386294",1,"9,092345","0,623791","3,295837","0,3175412","-0,0005624","0,057118","4,395397",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
9,2017,"3,91","19,79",0,"8,34",S90,S,"3,816667","3,332205","1,94591",1,"9,300547","0,6331205","3,332205","0,0963842","0,0144196","0,035756","3,288119",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
9,2018,"3,21","28,13",0,15,S90,S,"4,376667","3,332205","1,94591",1,"9,519295","0,6498956","3,367296","0,6643197","0,0912181","0,065214","2,742721",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
12,2010,,"68,2",17,"5,65",C30,C3,"15,18333","1,098612","1,098612",1,"9,368967","0,4579451","3,295837","0,4669056","0,1897663","0,258193","5,747396",1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,2011,,"64,13",14,"4,83",C30,C3,"15,1","1,098612","1,098612",1,"9,38505","0,5219064","3,332205","0,0680261","0,1104958","0,190189","3,160214",0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,2012,,"62,08",20,"3,43",C30,C3,"12,88333","1,098612","1,098612",1,"9,338998","0,4930042","3,367296","-0,1543242","0,1203835","0,050748","2,914222",0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,2013,"2,47","70,58",17,"2,46",C30,C3,"17,00667","1,098612","1,098612",1,"9,205931","0,4428684","3,401197","0,1057192","0,1126655","0,206931","2,511516",0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,2014,"2,95","63,79",14,"0,87",C30,C3,"16,30667","1,098612","1,098612",1,"9,252633","0,4429854","3,433987","-0,0891274","0,0920062","0,100983","2,570302",0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,2015,"3,23","73,74",23,"2,7",C30,C3,"16,01333","0,6931472","0,6931472",1,"9,263692","0,5116955","3,465736","0,0548494","0,0697975","0,067211","3,939301",0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,2016,"3,81","72,45",23,"2,84",C30,C3,"15,53667","0,6931472","0,6931472",1,"9,351406","0,5259067","3,496508","0,2076729","0,1306862","0,101942","3,452503",0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,2017,"3,38","12,73",0,"3,16",C30,C3,"3,19","0,6931472","0,6931472",1,"9,401374","0,5505697","3,496508","0,2123133","0,1261042","0,098012","3,174329",0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,2018,"3,6","17,84",0,"2,77",C30,C3,"5,023334","1,098612","0,6931472",1,"9,287301","0,5056337","3,496508","-0,0247659","0,1114551","0,051808","2,036965",0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,2010,,"8,63",0,"-2,83",C39,C3,"3,82","1,791759","1,386294",1,"9,924466","0,743477","3,433987","0,2905506","-0,026283","0,024294","4,047916",1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,2011,,"2,88",0,-5,C39,C3,"2,626667","2,079442","1,609438",1,"9,889591","0,7494077","3,465736","-0,052236","-0,0810629","0,005716","3,721049",0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,2012,,"13,26",0,5,C39,C3,"2,753333","2,079442","1,609438",1,"9,942612","0,743593","3,496508","0,1307369","-0,0216897","0,010712","3,671417",0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,2013,,"12,88",0,5,C39,C3,"2,626667","2,079442","1,609438",1,"9,930227","0,7281315","3,496508","0,0910071","0,1450304","0,014036","3,603866",0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,2014,,"11,95",0,5,C39,C3,"2,316667","1,94591","1,609438",1,"9,840335","0,7438843","3,496508","-0,0291526","-0,0381651","0,014111","4,264433",0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,2015,"1,25","4,67",0,"3,22",C39,C3,"0,4833333","2,079442","1,609438",1,"9,82774","0,7841845","3,496508","-0,0529417","0,0904959","-0,34609","8,078583",0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,2016,,"3,61",0,-5,C39,C3,"2,87","2,079442","1,386294",1,"9,763651","0,8075465","3,496508","0,1035147","-0,0563782","0,028832","6,987039",0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,2017,"1,06","27,63",0,"4,43",C39,C3,"7,733333","2,197225","1,609438",1,"9,788189","0,6520106","3,496508","0,5383629","-0,129541","0,345112","3,311944",0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,2018,"0,86","10,88",0,-5,C39,C3,"5,293334","2,397895","1,386294",1,"9,85035","0,7134652","3,496508","0,4771086","-0,0979178","0,075766","3,204283",0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,2013,,"22,66",0,"8,29",E50,E,"4,79","1,386294","0,6931472",0,"5,463832","0,2693278","3,091043","1,433291","0,010021","0,064859","9,99598",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
18,2014,,"17,01",0,"3,41",E50,E,"4,533333","1,098612","0,6931472",0,"5,463832","0,2976612","3,135494","-0,3992136","0,0074937","0,033743","16,02194",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
18,2015,"3,32","23,32",0,"7,25",E50,E,"5,356667","1,94591","1,791759",0,"7,427144","0,6812556","3,178054","2,078923","-0,0726954","0,338982","16,02194",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
18,2016,"2,98","23,46",0,"5,68",E50,E,"5,926667","2,484907","2,302585",0,"7,799753","0,7707937","3,218876","0,1632373","-0,129541","0,303497","12,2893",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
21,2010,,"43,09",5,"5,99",C39,C3,"10,7","1,386294","1,386294",1,"9,769327","0,3282367","2,890372","0,5495006","0,0171654","0,08453","3,947119",1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,2011,,"62,62",8,15,C39,C3,"12,61","1,609438","1,609438",1,"9,835637","0,5820134","2,944439","-0,1030814","0,0164534","0,050038","2,958837",0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,2012,"0,91","58,54",9,15,C39,C3,"11,51333","0,6931472","0,6931472",1,"9,757247","0,5917803","2,995732","-0,1197433","0,028272","0,001994","2,944717",0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,2013,"0,99","63,38","9,4",15,C39,C3,"12,99333","2,197225","1,94591",1,"9,607841","0,6385731","3,044523","-0,0829284","0,0326994","0,034851","3,332628",0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,2014,"0,92","57,19",7,15,C39,C3,"11,73","2,639057","2,197225",1,"9,770299","0,6499049","3,091043","0,0933961","-0,0068574","0,032047","3,944447",0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,2015,"1,09","63,92",8,15,C39,C3,"13,64","2,302585","1,94591",1,"9,927009","0,6369189","3,135494","-0,0658197","0,0342082","0,0352","5,162672",0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,2016,"1,11","60,19",6,15,C39,C3,"13,06333","2,484907","2,197225",1,"10,5129","0,5479081","3,178054","-0,0190501","0,0304282","0,042605","3,830991",0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,2017,"1,12","27,16",0,"12,14",C39,C3,"5,006667","2,70805","2,397895",1,"10,11156","0,6428347","3,218876","-0,0570298","0,0433551","0,102243","4,214386",0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,2018,"1,24","28,57",0,"11,76",C39,C3,"5,603333","2,70805","2,397895",1,"9,997615","0,5768033","3,258096","0,1302784","0,0263034","0,096048","2,612596",0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
